tourney_year_id,Classification
1988-321,
1988-224,
1988-418,
1988-323,
1988-317,
1988-420,
1988-419,
1988-319,
1988-379,
1988-366,
1988-421,
1988-422,
1988-318,
1988-435,
1988-560,Grand Slam
1988-425,
1988-306,
1988-322,
1988-423,
1988-88,Olympics
1988-325,
1988-424,
1988-433,
1988-328,
1988-326,
1988-427,
1988-330,
1988-327,
1988-348,
1988-337,
1988-428,
1988-336,
1988-352,ATP Masters 1000
1988-237,
1988-429,
1988-303,
1988-430,
1988-437,
1988-426,
1988-406,
1988-240,
1988-605,Finals
1988-602,
1989-7308,
1989-354,
1989-301,
1989-338,
1989-580,Grand Slam
1989-201,
1989-407,
1989-402,
1989-408,
1989-7309,
1989-401,
1989-304,
1989-610,
1989-433,
1989-404,
1989-403,
1989-367,
1989-215,
1989-434,
1989-,
1989-329,
1989-410,
1989-456,
1989-415,
1989-308,
1989-717,
1989-414,
1989-416,
1989-615,
1989-310,
1989-520,Grand Slam
1989-312,
1989-311,
1989-306,
1989-313,
1989-540,Grand Slam
1989-417,
1989-314,
1989-315,
1989-224,
1989-317,
1989-321,
1989-418,
1989-316,
1989-319,
1989-420,
1989-419,
1989-318,
1989-379,
1989-422,
1989-421,
1989-366,
1989-475,
1989-560,Grand Slam
1989-322,
1989-309,
1989-425,
1989-423,
1989-323,
1989-325,
1989-424,
1989-326,
1989-409,
1989-328,
1989-427,
1989-327,
1989-330,
1989-337,
1989-428,
1989-348,
1989-352,ATP Masters 1000
1989-237,
1989-429,
1989-430,
1989-426,
1989-240,
1989-605,Finals
1989-602,
1990-7308,
1990-354,
1990-301,
1990-338,
1990-580,Grand Slam
1990-201,
1990-408,
1990-424,
1990-406,
1990-302,
1990-401,
1990-357,
1990-402,
1990-407,
1990-360,
1990-404,ATP Masters 1000
1990-403,ATP Masters 1000
1990-468,
1990-409,
1990-215,
1990-425,
1990-329,
1990-,
1990-434,
1990-336,
1990-410,ATP Masters 1000
1990-309,
1990-308,
1990-456,
1990-414,ATP Masters 1000
1990-717,
1990-416,ATP Masters 1000
1990-439,
1990-312,
1990-615,
1990-520,Grand Slam
1990-310,
1990-311,
1990-440,
1990-306,
1990-7310,
1990-540,Grand Slam
1990-316,
1990-314,
1990-315,
1990-321,
1990-418,
1990-317,
1990-421,ATP Masters 1000
1990-319,
1990-423,
1990-366,
1990-422,ATP Masters 1000
1990-379,
1990-419,
1990-420,
1990-441,
1990-475,
1990-224,
1990-560,Grand Slam
1990-323,
1990-322,
1990-328,
1990-326,
1990-325,
1990-367,
1990-427,
1990-327,
1990-348,
1990-330,
1990-428,
1990-7309,
1990-337,
1990-237,
1990-429,ATP Masters 1000
1990-352,ATP Masters 1000
1990-240,
1990-438,
1990-430,
1990-605,Finals
1990-602,
1990-604,
1991-7308,
1991-354,
1991-301,
1991-338,
1991-580,Grand Slam
1991-201,
1991-408,
1991-424,
1991-406,
1991-401,
1991-402,
1991-357,
1991-411,
1991-407,
1991-481,
1991-404,ATP Masters 1000
1991-403,ATP Masters 1000
1991-468,
1991-336,
1991-409,
1991-425,
1991-329,
1991-,
1991-434,
1991-410,ATP Masters 1000
1991-456,
1991-309,
1991-308,
1991-346,
1991-717,
1991-414,ATP Masters 1000
1991-416,ATP Masters 1000
1991-439,
1991-312,
1991-615,
1991-520,Grand Slam
1991-310,
1991-311,
1991-440,
1991-306,
1991-7310,
1991-540,Grand Slam
1991-316,
1991-314,
1991-315,
1991-321,
1991-418,
1991-317,
1991-421,ATP Masters 1000
1991-319,
1991-423,
1991-475,
1991-422,ATP Masters 1000
1991-379,
1991-419,
1991-420,
1991-441,
1991-224,
1991-560,Grand Slam
1991-323,
1991-463,
1991-322,
1991-328,
1991-326,
1991-325,
1991-367,
1991-427,
1991-327,
1991-348,
1991-330,
1991-428,
1991-7309,
1991-337,
1991-237,
1991-429,ATP Masters 1000
1991-215,
1991-352,ATP Masters 1000
1991-430,
1991-438,
1991-240,
1991-605,Finals
1991-602,
1991-604,
1992-7308,
1992-354,
1992-301,
1992-338,
1992-580,Grand Slam
1992-201,
1992-408,
1992-424,
1992-406,
1992-402,
1992-401,
1992-357,
1992-407,
1992-433,
1992-481,
1992-404,ATP Masters 1000
1992-403,ATP Masters 1000
1992-360,
1992-468,
1992-426,
1992-456,
1992-425,
1992-329,
1992-336,
1992-,
1992-346,
1992-410,ATP Masters 1000
1992-434,
1992-409,
1992-309,
1992-308,
1992-717,
1992-414,ATP Masters 1000
1992-416,ATP Masters 1000
1992-312,
1992-615,
1992-520,Grand Slam
1992-310,
1992-311,
1992-440,
1992-306,
1992-7310,
1992-540,Grand Slam
1992-316,
1992-314,
1992-315,
1992-321,
1992-418,
1992-317,
1992-319,
1992-421,ATP Masters 1000
1992-92,Olympics
1992-475,
1992-423,
1992-422,ATP Masters 1000
1992-379,
1992-419,
1992-420,
1992-441,
1992-224,
1992-439,
1992-560,Grand Slam
1992-323,
1992-7300,
1992-328,
1992-326,
1992-325,
1992-367,
1992-427,
1992-327,
1992-348,
1992-330,
1992-428,
1992-7309,
1992-457,
1992-337,
1992-237,
1992-429,ATP Masters 1000
1992-215,
1992-352,ATP Masters 1000
1992-430,
1992-438,
1992-240,
1992-605,Finals
1992-602,
1992-604,
1993-7308,
1993-451,
1993-450,
1993-301,
1993-494,
1993-338,
1993-580,Grand Slam
1993-495,
1993-496,
1993-424,
1993-402,
1993-408,
1993-401,
1993-357,
1993-807,
1993-407,
1993-433,
1993-481,
1993-404,ATP Masters 1000
1993-497,
1993-403,ATP Masters 1000
1993-360,
1993-426,
1993-468,
1993-498,
1993-425,
1993-329,
1993-717,
1993-336,
1993-,
1993-410,ATP Masters 1000
1993-434,
1993-409,
1993-309,
1993-308,
1993-414,ATP Masters 1000
1993-346,
1993-499,
1993-416,ATP Masters 1000
1993-312,
1993-615,
1993-520,Grand Slam
1993-310,
1993-311,
1993-440,
1993-306,
1993-500,
1993-7310,
1993-540,Grand Slam
1993-316,
1993-314,
1993-315,
1993-321,
1993-418,
1993-317,
1993-421,ATP Masters 1000
1993-319,
1993-423,
1993-379,
1993-422,ATP Masters 1000
1993-475,
1993-419,
1993-420,
1993-441,
1993-224,
1993-439,
1993-560,Grand Slam
1993-323,
1993-773,
1993-328,
1993-326,
1993-325,
1993-367,
1993-427,
1993-327,
1993-348,
1993-330,
1993-428,
1993-7307,
1993-7309,
1993-337,
1993-505,
1993-429,ATP Masters 1000
1993-352,ATP Masters 1000
1993-240,
1993-430,
1993-7304,
1993-438,
1993-605,Finals
1993-602,
1993-604,
1994-7308,
1994-451,
1994-517,
1994-301,
1994-494,
1994-338,
1994-580,Grand Slam
1994-495,
1994-496,
1994-424,
1994-402,
1994-408,
1994-401,
1994-357,
1994-807,
1994-407,
1994-433,
1994-481,
1994-404,ATP Masters 1000
1994-403,ATP Masters 1000
1994-497,
1994-360,
1994-468,
1994-498,
1994-426,
1994-425,
1994-329,
1994-717,
1994-336,
1994-,
1994-410,ATP Masters 1000
1994-434,
1994-409,
1994-309,
1994-308,
1994-414,ATP Masters 1000
1994-436,
1994-499,
1994-416,ATP Masters 1000
1994-312,
1994-615,
1994-520,Grand Slam
1994-310,
1994-311,
1994-440,
1994-500,
1994-7310,
1994-306,
1994-540,Grand Slam
1994-316,
1994-314,
1994-315,
1994-321,
1994-418,
1994-317,
1994-421,ATP Masters 1000
1994-319,
1994-423,
1994-379,
1994-422,ATP Masters 1000
1994-475,
1994-419,
1994-420,
1994-441,
1994-224,
1994-439,
1994-560,Grand Slam
1994-359,
1994-323,
1994-773,
1994-328,
1994-326,
1994-325,
1994-367,
1994-427,
1994-327,
1994-348,
1994-330,
1994-428,
1994-7307,
1994-7309,
1994-337,
1994-505,
1994-429,ATP Masters 1000
1994-544,
1994-352,ATP Masters 1000
1994-430,
1994-7304,
1994-438,
1994-605,Finals
1994-602,
1994-604,
1995-7308,
1995-451,
1995-301,
1995-494,
1995-338,
1995-580,Grand Slam
1995-495,
1995-496,
1995-424,
1995-402,
1995-408,
1995-401,
1995-357,
1995-807,
1995-407,
1995-433,
1995-481,
1995-404,ATP Masters 1000
1995-403,ATP Masters 1000
1995-568,
1995-360,
1995-468,
1995-426,
1995-425,
1995-329,
1995-436,
1995-336,
1995-,
1995-410,ATP Masters 1000
1995-434,
1995-409,
1995-308,
1995-414,ATP Masters 1000
1995-717,
1995-499,
1995-416,ATP Masters 1000
1995-312,
1995-615,
1995-520,Grand Slam
1995-311,
1995-310,
1995-440,
1995-500,
1995-741,
1995-306,
1995-540,Grand Slam
1995-316,
1995-314,
1995-315,
1995-321,
1995-418,
1995-317,
1995-421,ATP Masters 1000
1995-319,
1995-423,
1995-379,
1995-422,ATP Masters 1000
1995-475,
1995-419,
1995-420,
1995-441,
1995-439,
1995-560,Grand Slam
1995-359,
1995-323,
1995-773,
1995-328,
1995-325,
1995-326,
1995-327,
1995-7306,
1995-348,
1995-330,
1995-428,
1995-7307,
1995-7309,
1995-337,
1995-430,ATP Masters 1000
1995-505,
1995-544,
1995-352,ATP Masters 1000
1995-7304,
1995-438,
1995-429,
1995-605,Finals
1995-602,
1995-604,
1996-7308,
1996-451,
1996-301,
1996-494,
1996-338,
1996-580,Grand Slam
1996-890,
1996-7301,
1996-495,
1996-496,
1996-424,
1996-430,
1996-402,
1996-408,
1996-401,
1996-807,
1996-407,
1996-433,
1996-481,
1996-404,ATP Masters 1000
1996-403,ATP Masters 1000
1996-568,
1996-360,
1996-468,
1996-336,
1996-891,
1996-425,
1996-436,
1996-329,
1996-410,ATP Masters 1000
1996-434,
1996-409,
1996-308,
1996-379,
1996-414,ATP Masters 1000
1996-717,
1996-499,
1996-416,ATP Masters 1000
1996-615,
1996-306,
1996-520,Grand Slam
1996-311,
1996-310,
1996-440,
1996-312,
1996-500,
1996-741,
1996-540,Grand Slam
1996-316,
1996-314,
1996-315,
1996-321,
1996-418,
1996-96,Olympics
1996-319,
1996-317,
1996-423,
1996-422,ATP Masters 1000
1996-475,
1996-419,
1996-420,
1996-439,
1996-441,
1996-421,ATP Masters 1000
1996-560,Grand Slam
1996-359,
1996-620,
1996-773,
1996-328,
1996-325,
1996-7309,
1996-7306,
1996-326,
1996-7307,
1996-337,
1996-348,
1996-330,
1996-327,
1996-357,ATP Masters 1000
1996-352,ATP Masters 1000
1996-438,
1996-505,
1996-429,
1996-602,
1996-605,Finals
1996-604,
1997-7308,
1997-451,
1997-301,
1997-338,
1997-580,Grand Slam
1997-890,
1997-7301,
1997-495,
1997-496,
1997-424,
1997-430,
1997-402,
1997-408,
1997-401,
1997-407,
1997-433,
1997-481,
1997-404,ATP Masters 1000
1997-403,ATP Masters 1000
1997-568,
1997-360,
1997-891,
1997-468,
1997-336,
1997-425,
1997-329,
1997-410,ATP Masters 1000
1997-717,
1997-409,
1997-308,
1997-379,
1997-499,
1997-414,ATP Masters 1000
1997-416,ATP Masters 1000
1997-615,
1997-306,
1997-520,Grand Slam
1997-312,
1997-500,
1997-311,
1997-741,
1997-440,
1997-540,Grand Slam
1997-316,
1997-314,
1997-315,
1997-321,
1997-418,
1997-319,
1997-423,
1997-439,
1997-317,
1997-421,ATP Masters 1000
1997-422,ATP Masters 1000
1997-475,
1997-419,
1997-420,
1997-80,
1997-441,
1997-560,Grand Slam
1997-620,
1997-7306,
1997-73,
1997-773,
1997-327,
1997-604,
1997-328,
1997-7307,
1997-325,
1997-326,
1997-337,
1997-7309,
1997-348,
1997-807,
1997-357,ATP Masters 1000
1997-359,
1997-352,ATP Masters 1000
1997-438,
1997-505,
1997-429,
1997-605,Finals
1997-602,
1998-7308,
1998-451,
1998-301,
1998-338,
1998-580,Grand Slam
1998-496,
1998-7301,
1998-495,
1998-424,
1998-568,
1998-430,
1998-402,
1998-408,
1998-401,
1998-407,
1998-433,
1998-481,
1998-404,ATP Masters 1000
1998-403,ATP Masters 1000
1998-360,
1998-891,
1998-468,
1998-336,
1998-425,
1998-329,
1998-410,ATP Masters 1000
1998-717,
1998-409,
1998-308,
1998-379,
1998-499,
1998-414,ATP Masters 1000
1998-416,ATP Masters 1000
1998-615,
1998-306,
1998-520,Grand Slam
1998-312,
1998-500,
1998-311,
1998-741,
1998-440,
1998-540,Grand Slam
1998-316,
1998-314,
1998-315,
1998-321,
1998-418,
1998-319,
1998-423,
1998-439,
1998-317,
1998-421,ATP Masters 1000
1998-422,ATP Masters 1000
1998-475,
1998-419,
1998-420,
1998-80,
1998-441,
1998-560,Grand Slam
1998-620,
1998-773,
1998-73,
1998-7306,
1998-604,
1998-327,
1998-328,
1998-325,
1998-890,
1998-326,
1998-337,
1998-7309,
1998-348,
1998-807,
1998-357,ATP Masters 1000
1998-359,
1998-352,ATP Masters 1000
1998-438,
1998-505,
1998-429,
1998-602,
1998-605,Finals
1999-7308,
1999-451,
1999-301,
1999-338,
1999-580,Grand Slam
1999-496,
1999-495,
1999-424,
1999-568,
1999-402,
1999-407,
1999-408,
1999-481,
1999-433,
1999-404,ATP Masters 1000
1999-403,ATP Masters 1000
1999-360,
1999-891,
1999-468,
1999-336,
1999-425,
1999-329,
1999-410,ATP Masters 1000
1999-717,
1999-409,
1999-308,
1999-379,
1999-499,
1999-414,ATP Masters 1000
1999-416,ATP Masters 1000
1999-615,
1999-306,
1999-520,Grand Slam
1999-500,
1999-311,
1999-473,
1999-741,
1999-440,
1999-540,Grand Slam
1999-316,
1999-314,
1999-315,
1999-321,
1999-319,
1999-423,
1999-439,
1999-317,
1999-421,ATP Masters 1000
1999-422,ATP Masters 1000
1999-475,
1999-419,
1999-418,
1999-80,
1999-441,
1999-560,Grand Slam
1999-620,
1999-7306,
1999-73,
1999-773,
1999-604,
1999-327,
1999-328,
1999-325,
1999-890,
1999-326,
1999-337,
1999-7309,
1999-357,ATP Masters 1000
1999-352,ATP Masters 1000
1999-438,
1999-429,
1999-602,
1999-605,Finals
2000-7308,ATP 250
2000-891,ATP 250
2000-451,ATP 250
2000-301,ATP 250
2000-338,ATP 250
2000-580,Grand Slam
2000-495,ATP 250
2000-496,ATP 250
2000-424,ATP 250
2000-402,ATP 500
2000-407,ATP 500
2000-408,ATP 250
2000-807,ATP 500
2000-481,ATP 250
2000-499,ATP 250
2000-505,ATP 250
2000-359,ATP 250
2000-433,ATP 250
2000-404,ATP Masters 1000
2000-403,ATP Masters 1000
2000-409,ATP 250
2000-360,ATP 250
2000-468,ATP 250
2000-410,ATP Masters 1000
2000-425,ATP 500
2000-7306,ATP 250
2000-308,ATP 250
2000-717,ATP 250
2000-416,ATP Masters 1000
2000-414,ATP Masters 1000
2000-615,ATP 250
2000-306,ATP 250
2000-520,Grand Slam
2000-500,ATP 250
2000-311,ATP 250
2000-741,ATP 250
2000-440,ATP 250
2000-540,Grand Slam
2000-316,ATP 250
2000-314,ATP 250
2000-315,ATP 250
2000-317,ATP 250
2000-321,ATP 500
2000-439,ATP 250
2000-319,ATP 500
2000-423,ATP 250
2000-475,ATP 250
2000-421,ATP Masters 1000
2000-422,ATP Masters 1000
2000-419,ATP 500
2000-418,ATP 500
2000-441,ATP 250
2000-560,Grand Slam
2000-773,ATP 250
2000-73,ATP 250
2000-96,Olympics
2000-325,ATP 250
2000-336,ATP 250
2000-329,ATP 500
2000-337,ATP 500
2000-890,ATP 250
2000-327,ATP 250
2000-328,ATP 250
2000-438,ATP 250
2000-357,ATP Masters 1000
2000-7309,ATP 250
2000-568,ATP 250
2000-352,ATP Masters 1000
2000-620,ATP 250
2000-429,ATP 250
2000-605,Finals
2000-602,ATP 250
2001-7308,ATP 250
2001-891,ATP 250
2001-451,ATP 250
2001-301,ATP 250
2001-338,ATP 250
2001-580,Grand Slam
2001-359,ATP 250
2001-408,ATP 250
2001-481,ATP 250
2001-496,ATP 250
2001-505,ATP 250
2001-506,ATP 250
2001-402,ATP 500
2001-407,ATP 500
2001-807,ATP 500
2001-495,ATP 500
2001-424,ATP 250
2001-499,ATP 250
2001-433,ATP 250
2001-404,ATP Masters 1000
2001-403,ATP Masters 1000
2001-360,ATP 250
2001-468,ATP 250
2001-410,ATP Masters 1000
2001-409,ATP 250
2001-425,ATP 500
2001-717,ATP 250
2001-7306,ATP 250
2001-308,ATP 250
2001-416,ATP Masters 1000
2001-414,ATP Masters 1000
2001-615,ATP 250
2001-306,ATP 250
2001-520,Grand Slam
2001-500,ATP 250
2001-311,ATP 250
2001-741,ATP 250
2001-440,ATP 250
2001-540,Grand Slam
2001-316,ATP 250
2001-314,ATP 250
2001-315,ATP 250
2001-317,ATP 250
2001-321,ATP 500
2001-439,ATP 250
2001-319,ATP 500
2001-423,ATP 250
2001-475,ATP 250
2001-421,ATP Masters 1000
2001-422,ATP Masters 1000
2001-419,ATP 500
2001-418,ATP 500
2001-441,ATP 250
2001-560,Grand Slam
2001-773,ATP 250
2001-533,ATP 250
2001-73,ATP 250
2001-890,ATP 250
2001-336,ATP 250
2001-325,ATP 250
2001-438,ATP 250
2001-329,ATP 500
2001-7309,ATP 250
2001-337,ATP 500
2001-357,ATP Masters 1000
2001-328,ATP 250
2001-568,ATP 250
2001-429,ATP 250
2001-352,ATP Masters 1000
2001-605,Finals
2001-602,ATP 250
2002-7308,ATP 250
2002-891,ATP 250
2002-451,ATP 250
2002-301,ATP 250
2002-338,ATP 250
2002-580,Grand Slam
2002-408,ATP 250
2002-481,ATP 250
2002-496,ATP 250
2002-505,ATP 250
2002-506,ATP 250
2002-402,ATP 500
2002-407,ATP 500
2002-807,ATP 500
2002-495,ATP 500
2002-424,ATP 250
2002-499,ATP 250
2002-433,ATP 250
2002-404,ATP Masters 1000
2002-403,ATP Masters 1000
2002-360,ATP 250
2002-468,ATP 250
2002-410,ATP Masters 1000
2002-425,ATP 500
2002-717,ATP 250
2002-7306,ATP 250
2002-308,ATP 250
2002-416,ATP Masters 1000
2002-414,ATP Masters 1000
2002-615,ATP 250
2002-306,ATP 250
2002-520,Grand Slam
2002-500,ATP 250
2002-311,ATP 250
2002-741,ATP 250
2002-440,ATP 250
2002-540,Grand Slam
2002-316,ATP 250
2002-314,ATP 250
2002-315,ATP 250
2002-317,ATP 250
2002-321,ATP 250
2002-439,ATP 250
2002-319,ATP 500
2002-423,ATP 250
2002-475,ATP 250
2002-421,ATP Masters 1000
2002-422,ATP Masters 1000
2002-419,ATP 500
2002-418,ATP 500
2002-441,ATP 250
2002-560,Grand Slam
2002-773,ATP 250
2002-533,ATP 250
2002-73,ATP 250
2002-336,ATP 250
2002-325,ATP 250
2002-438,ATP 250
2002-329,ATP 500
2002-7309,ATP 250
2002-337,ATP 500
2002-1536,ATP Masters 1000
2002-328,ATP 250
2002-568,ATP 250
2002-429,ATP 250
2002-352,ATP Masters 1000
2002-605,Finals
2003-7308,ATP 250
2003-891,ATP 250
2003-451,ATP 250
2003-301,ATP 250
2003-338,ATP 250
2003-580,Grand Slam
2003-408,ATP 250
2003-496,ATP 250
2003-424,ATP 250
2003-505,ATP 250
2003-506,ATP 250
2003-402,ATP 500
2003-407,ATP 500
2003-807,ATP 500
2003-481,ATP 250
2003-495,ATP 500
2003-499,ATP 250
2003-433,ATP 250
2003-404,ATP Masters 1000
2003-403,ATP Masters 1000
2003-360,ATP 250
2003-468,ATP 250
2003-410,ATP Masters 1000
2003-425,ATP 500
2003-717,ATP 250
2003-308,ATP 250
2003-573,ATP 250
2003-416,ATP Masters 1000
2003-414,ATP Masters 1000
2003-615,ATP 250
2003-306,ATP 250
2003-520,Grand Slam
2003-500,ATP 250
2003-311,ATP 250
2003-741,ATP 250
2003-440,ATP 250
2003-540,Grand Slam
2003-316,ATP 250
2003-314,ATP 250
2003-315,ATP 250
2003-317,ATP 250
2003-321,ATP 500
2003-419,ATP 250
2003-319,ATP 500
2003-439,ATP 250
2003-423,ATP 250
2003-475,ATP 250
2003-418,ATP 250
2003-421,ATP Masters 1000
2003-422,ATP Masters 1000
2003-441,ATP 250
2003-560,Grand Slam
2003-773,ATP 250
2003-533,ATP 250
2003-1720,ATP 250
2003-325,ATP 250
2003-890,ATP 250
2003-341,ATP 250
2003-438,ATP 250
2003-329,ATP 500
2003-7309,ATP 250
2003-337,ATP 500
2003-1536,ATP Masters 1000
2003-328,ATP 250
2003-568,ATP 250
2003-429,ATP 250
2003-352,ATP Masters 1000
2003-605,Finals
2004-7308,ATP 250
2004-891,ATP 250
2004-451,ATP 250
2004-301,ATP 250
2004-338,ATP 250
2004-580,Grand Slam
2004-408,ATP 250
2004-424,ATP 250
2004-505,ATP 250
2004-506,ATP 250
2004-402,ATP 500
2004-407,ATP 500
2004-496,ATP 250
2004-533,ATP 250
2004-807,ATP 500
2004-495,ATP 500
2004-433,ATP 250
2004-404,ATP Masters 1000
2004-403,ATP Masters 1000
2004-468,ATP 250
2004-717,ATP 250
2004-573,ATP 250
2004-410,ATP Masters 1000
2004-425,ATP 500
2004-308,ATP 250
2004-416,ATP Masters 1000
2004-414,ATP Masters 1000
2004-360,ATP 250
2004-615,ATP 250
2004-306,ATP 250
2004-520,Grand Slam
2004-500,ATP 250
2004-311,ATP 250
2004-741,ATP 250
2004-440,ATP 250
2004-540,Grand Slam
2004-316,ATP 250
2004-314,ATP 250
2004-315,ATP 250
2004-317,ATP 250
2004-423,ATP 250
2004-321,ATP 500
2004-419,ATP 250
2004-319,ATP 500
2004-439,ATP 250
2004-421,ATP Masters 1000
2004-422,ATP Masters 1000
2004-475,ATP 250
2004-96,Olympics
2004-418,ATP 250
2004-441,ATP 250
2004-560,Grand Slam
2004-747,ATP 250
2004-773,ATP 250
2004-499,ATP 250
2004-1720,ATP 250
2004-325,ATP 250
2004-890,ATP 250
2004-7309,ATP 250
2004-329,ATP 500
2004-341,ATP 250
2004-438,ATP 250
2004-337,ATP 500
2004-1536,ATP Masters 1000
2004-328,ATP 250
2004-568,ATP 250
2004-429,ATP 250
2004-352,ATP Masters 1000
2004-605,Finals
2005-7308,ATP 250
2005-891,ATP 250
2005-451,ATP 250
2005-301,ATP 250
2005-338,ATP 250
2005-580,Grand Slam
2005-499,ATP 250
2005-408,ATP 250
2005-505,ATP 250
2005-506,ATP 250
2005-496,ATP 250
2005-424,ATP 250
2005-402,ATP 500
2005-407,ATP 500
2005-533,ATP 250
2005-807,ATP 500
2005-495,ATP 500
2005-433,ATP 250
2005-404,ATP Masters 1000
2005-403,ATP Masters 1000
2005-360,ATP 250
2005-573,ATP 250
2005-410,ATP Masters 1000
2005-425,ATP 500
2005-717,ATP 250
2005-468,ATP 250
2005-308,ATP 250
2005-416,ATP Masters 1000
2005-414,ATP Masters 1000
2005-615,ATP 250
2005-306,ATP 250
2005-520,Grand Slam
2005-500,ATP 250
2005-311,ATP 250
2005-741,ATP 250
2005-440,ATP 250
2005-540,Grand Slam
2005-316,ATP 250
2005-314,ATP 250
2005-315,ATP 250
2005-317,ATP 250
2005-419,ATP 250
2005-321,ATP 500
2005-319,ATP 500
2005-423,ATP 250
2005-439,ATP 250
2005-475,ATP 250
2005-418,ATP 250
2005-421,ATP Masters 1000
2005-422,ATP Masters 1000
2005-3348,ATP 250
2005-560,Grand Slam
2005-747,ATP 250
2005-773,ATP 250
2005-1720,ATP 250
2005-890,ATP 250
2005-325,ATP 250
2005-341,ATP 250
2005-329,ATP 500
2005-438,ATP 250
2005-429,ATP 250
2005-337,ATP 500
2005-1536,ATP Masters 1000
2005-328,ATP 250
2005-7309,ATP 250
2005-568,ATP 250
2005-352,ATP Masters 1000
2005-605,Finals
2006-7308,ATP 250
2006-891,ATP 250
2006-451,ATP 250
2006-301,ATP 250
2006-338,ATP 250
2006-580,Grand Slam
2006-499,ATP 250
2006-505,ATP 250
2006-2276,ATP 250
2006-506,ATP 250
2006-496,ATP 250
2006-424,ATP 250
2006-402,ATP 500
2006-407,ATP 500
2006-533,ATP 250
2006-807,ATP 500
2006-495,ATP 500
2006-433,ATP 250
2006-404,ATP Masters 1000
2006-403,ATP Masters 1000
2006-717,ATP 250
2006-573,ATP 250
2006-410,ATP Masters 1000
2006-425,ATP 500
2006-360,ATP 250
2006-468,ATP 250
2006-308,ATP 250
2006-416,ATP Masters 1000
2006-414,ATP Masters 1000
2006-615,ATP 250
2006-306,ATP 250
2006-520,Grand Slam
2006-500,ATP 250
2006-311,ATP 250
2006-741,ATP 250
2006-440,ATP 250
2006-540,Grand Slam
2006-316,ATP 250
2006-314,ATP 250
2006-315,ATP 250
2006-317,ATP 250
2006-419,ATP 250
2006-321,ATP 500
2006-319,ATP 500
2006-423,ATP 250
2006-439,ATP 250
2006-475,ATP 250
2006-418,ATP 250
2006-421,ATP Masters 1000
2006-422,ATP Masters 1000
2006-3348,ATP 250
2006-560,Grand Slam
2006-747,ATP 250
2006-773,ATP 250
2006-1720,ATP 250
2006-3465,ATP 250
2006-325,ATP 250
2006-341,ATP 250
2006-329,ATP 500
2006-438,ATP 250
2006-429,ATP 250
2006-337,ATP 500
2006-1536,ATP Masters 1000
2006-328,ATP 250
2006-7309,ATP 250
2006-568,ATP 250
2006-352,ATP Masters 1000
2006-605,Finals
2007-7308,ATP 250
2007-891,ATP 250
2007-451,ATP 250
2007-301,ATP 250
2007-338,ATP 250
2007-580,Grand Slam
2007-499,ATP 250
2007-505,ATP 250
2007-2276,ATP 250
2007-496,ATP 250
2007-424,ATP 250
2007-533,ATP 250
2007-506,ATP 250
2007-402,ATP 500
2007-407,ATP 500
2007-807,ATP 500
2007-495,ATP 500
2007-433,ATP 250
2007-404,ATP Masters 1000
2007-403,ATP Masters 1000
2007-717,ATP 250
2007-573,ATP 250
2007-410,ATP Masters 1000
2007-425,ATP 500
2007-360,ATP 250
2007-468,ATP 250
2007-308,ATP 250
2007-416,ATP Masters 1000
2007-414,ATP Masters 1000
2007-615,ATP 250
2007-306,ATP 250
2007-520,Grand Slam
2007-500,ATP 250
2007-311,ATP 250
2007-440,ATP 250
2007-741,ATP 250
2007-540,Grand Slam
2007-316,ATP 250
2007-314,ATP 250
2007-315,ATP 250
2007-317,ATP 250
2007-423,ATP 250
2007-321,ATP 500
2007-419,ATP 250
2007-319,ATP 500
2007-439,ATP 250
2007-418,ATP 250
2007-475,ATP 250
2007-421,ATP Masters 1000
2007-422,ATP Masters 1000
2007-3348,ATP 250
2007-560,Grand Slam
2007-747,ATP 250
2007-773,ATP 250
2007-1720,ATP 250
2007-3465,ATP 250
2007-341,ATP 250
2007-329,ATP 500
2007-429,ATP 250
2007-337,ATP 500
2007-438,ATP 250
2007-1536,ATP Masters 1000
2007-328,ATP 250
2007-7309,ATP 250
2007-568,ATP 250
2007-352,ATP Masters 1000
2007-605,Finals
2008-7308,ATP 250
2008-891,ATP 250
2008-451,ATP 250
2008-301,ATP 250
2008-338,ATP 250
2008-580,Grand Slam
2008-505,ATP 250
2008-499,ATP 250
2008-496,ATP 250
2008-533,ATP 250
2008-506,ATP 250
2008-407,ATP 500
2008-424,ATP 250
2008-807,ATP 500
2008-402,ATP 500
2008-2276,ATP 250
2008-495,ATP 500
2008-433,ATP 250
2008-404,ATP Masters 1000
2008-403,ATP Masters 1000
2008-468,ATP 250
2008-717,ATP 250
2008-573,ATP 250
2008-410,ATP Masters 1000
2008-425,ATP 500
2008-308,ATP 250
2008-416,ATP Masters 1000
2008-414,ATP Masters 1000
2008-360,ATP 250
2008-615,ATP 250
2008-306,ATP 250
2008-520,Grand Slam
2008-500,ATP 250
2008-311,ATP 250
2008-475,ATP 250
2008-440,ATP 250
2008-741,ATP 250
2008-540,Grand Slam
2008-316,ATP 250
2008-314,ATP 250
2008-315,ATP 250
2008-321,ATP 500
2008-317,ATP 250
2008-419,ATP 250
2008-319,ATP 500
2008-439,ATP 250
2008-421,ATP Masters 1000
2008-422,ATP Masters 1000
2008-423,ATP 250
2008-418,ATP 250
2008-96,Olympics
2008-3348,ATP 250
2008-560,Grand Slam
2008-773,ATP 250
