tourney_year_id,Classification
1968-421,
1968-414,
1968-560,Grand Slam
1968-423,
1968-303,
1969-243,
1969-713,
1969-3936,
1969-3941,
1969-580,Grand Slam
1969-3937,
1969-401,
1969-2058,
1969-6815,
1969-260,
1969-410,
1969-3938,
1969-406,
1969-416,
1969-520,Grand Slam
1969-3942,
1969-311,
1969-540,Grand Slam
1969-2029,
1969-661,
1969-314,
1969-317,
1969-421,
1969-414,
1969-319,
1969-560,Grand Slam
1969-423,
1969-413,
1969-429,
1969-7302,
1969-303,
1969-430,
1970-580,Grand Slam
1970-401,
1970-681,
1970-802,
1970-355,
1970-6816,
1970-6811,
1970-2066,
1970-657,
1970-6812,
1970-3941,
1970-462,
1970-6817,
1970-260,
1970-6818,
1970-410,
1970-436,
1970-388,
1970-405,
1970-347,
1970-520,Grand Slam
1970-412,
1970-413,
1970-406,
1970-416,
1970-652,
1970-2063,
1970-7310,
1970-313,
1970-6829,
1970-2049,
1970-311,
1970-540,Grand Slam
1970-2050,
1970-2029,
1970-661,
1970-316,
1970-6830,
1970-314,
1970-418,
1970-6831,
1970-422,
1970-717,
1970-317,
1970-663,
1970-804,
1970-417,
1970-319,
1970-421,
1970-414,
1970-653,
1970-2030,
1970-707,
1970-560,Grand Slam
1970-423,
1970-424,
1970-2048,
1970-425,
1970-6832,
1970-6833,
1970-2067,
1970-429,
1970-303,
1970-7302,
1970-430,
1970-605,Finals
1971-7584,
1971-713,
1971-338,
1971-802,
1971-401,
1971-2058,
1971-355,
1971-2066,
1971-301,
1971-657,
1971-580,Grand Slam
1971-344,
1971-262,
1971-,
1971-681,
1971-410,
1971-436,
1971-325,
1971-2065,
1971-820,
1971-818,
1971-388,
1971-2010,
1971-416,
1971-2011,
1971-414,
1971-520,Grand Slam
1971-347,
1971-406,
1971-313,
1971-2049,
1971-311,
1971-540,Grand Slam
1971-316,
1971-314,
1971-2050,
1971-418,
1971-2051,
1971-663,
1971-343,
1971-2044,
1971-422,
1971-6834,
1971-661,
1971-317,
1971-417,
1971-717,
1971-421,
1971-653,
1971-2030,
1971-560,Grand Slam
1971-707,
1971-423,
1971-654,
1971-424,
1971-2048,
1971-332,
1971-425,
1971-429,
1971-430,
1971-312,
1971-610,
1971-303,
1971-605,Finals
1972-580,Grand Slam
1972-816,
1972-2060,
1972-713,
1972-2022,
1972-2064,
1972-7308,
1972-2036,
1972-2061,
1972-2062,
1972-802,
1972-401,
1972-2057,
1972-355,
1972-302,
1972-2058,
1972-657,
1972-681,
1972-710,
1972-818,
1972-344,
1972-410,
1972-2066,
1972-426,
1972-405,
1972-2026,
1972-2044,
1972-436,
1972-,
1972-416,
1972-389,
1972-413,
1972-347,
1972-406,
1972-610,
1972-520,Grand Slam
1972-414,
1972-313,
1972-2049,
1972-311,
1972-540,Grand Slam
1972-652,
1972-706,
1972-316,
1972-314,
1972-319,
1972-343,
1972-418,
1972-661,
1972-663,
1972-2051,
1972-422,
1972-317,
1972-417,
1972-717,
1972-320,
1972-421,
1972-653,
1972-2030,
1972-707,
1972-560,Grand Slam
1972-2052,
1972-654,
1972-2043,
1972-424,
1972-423,
1972-2053,
1972-329,
1972-2048,
1972-425,
1972-2054,
1972-7302,
1972-508,
1972-429,
1972-2016,
1972-9036,
1972-2056,
1972-605,Finals
1972-303,
1972-254,
1972-326,
1972-2047,
1973-580,Grand Slam
1973-816,
1973-681,
1973-650,
1973-262,
1973-430,
1973-2022,
